1,Bangla,India
2,Bangla,England
3,English,India
4,English,India
5,Tamil,India
6,Bangla,Pakistan
7,Punjabi,England
8,Bangla,England
9,Bangla,Bangladesh
10,Bangla,England
11,English,Bangladesh
12,Bangla,India
13,Tamil,India
14,English,Bangladesh
15,Bangla,India
16,English,India
17,English,England
18,English,Pakistan
19,Bangla,England
20,Bangla,Bangladesh
21,Bangla,India
22,English,Bangladesh
23,English,Singapore
24,English,England
25,Bangla,India
26,English,England
27,English,Bangladesh
28,Tamil,Singapore
29,Tamil,India
30,English,India
31,English,India
32,English,Bangladesh
33,English,India
34,Bangla,Pakistan
35,Bangla,India
36,English,India
37,Tamil,India
38,Tamil,England
39,Tamil,Singapore
40,Bangla,Singapore
41,Punjabi,England
42,English,India
43,English,Bangladesh
44,English,Bangladesh
45,English,India
46,Punjabi,Pakistan
47,English,England
48,English,Bangladesh
49,English,India
50,English,England
51,Bangla,Pakistan
52,English,Singapore
53,Tamil,Singapore
54,English,Bangladesh
55,Punjabi,Pakistan
56,English,Pakistan
57,English,England
58,Bangla,India
59,Bangla,Bangladesh
60,Bangla,England
61,English,Singapore
62,English,India
63,English,India
64,Bangla,England
65,English,India
66,Punjabi,India
67,Tamil,India
68,Tamil,England
69,Bangla,Pakistan
70,Bangla,Bangladesh
71,Bangla,Bangladesh
72,English,Singapore
73,Punjabi,Pakistan
74,Punjabi,Singapore
75,Bangla,Pakistan
76,Punjabi,England
77,Tamil,India
78,English,England
79,English,England
80,English,England
81,English,Singapore
82,Bangla,India
83,Punjabi,Pakistan
84,English,Pakistan
85,Bangla,India
86,English,Bangladesh
87,English,Singapore
88,English,Bangladesh
89,Tamil,India
90,English,Bangladesh
91,English,England
92,English,England
93,Tamil,England
94,Bangla,Singapore
95,English,Bangladesh
96,Punjabi,Pakistan
97,Bangla,Singapore
98,Bangla,Bangladesh
99,Bangla,India
100,English,Bangladesh
101,Bangla,England
102,English,Pakistan
103,Bangla,India
104,Bangla,India
105,Bangla,India
106,Tamil,Singapore
107,Tamil,England
108,Bangla,Singapore
109,Bangla,India
110,English,Singapore
111,Punjabi,Singapore
112,Tamil,England
113,Tamil,India
114,English,Bangladesh
115,Bangla,England
116,English,England
117,Bangla,Singapore
118,Punjabi,India
119,Punjabi,Pakistan
120,Tamil,Singapore
